"Worksheet exported from: C:\Users\MIT MRL SEF\Documents\Agilent\ICP Expert\My Results\jwalker\20260317_ICP.esws"
"Instrument name","MY15470004"
"Software version","7.6.1.12212"
"Firmware version","5590"

""
"Label","Rack:Tube","Type","Date Time","Element","Element Label","Flags","Unadjusted Data","Concentration","Unit","Intensity","Concentration SD","Concentration % RSD","Intensity SD","Intensity % RSD","%RSE","Weight","Volume","Dilution","Internal Standard","Calibration fit","Correlation coefficient","Background correction","%RSE limit","Calibration Coefficient [1]","Calibration Coefficient [2]","Calibration Coefficient [3]","LIMS ID","Customer","Customer Ref.","Sample Date Time","Sample Site","Description","Replicates","Concentration Replicate 1","Concentration Replicate 2","Concentration Replicate 3","Intensity Replicate 1","Intensity Replicate 2","Intensity Replicate 3","Flags Replicate 1","Flags Replicate 2","Flags Replicate 3"
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","Al 394.401","Al","!","0.00","0.00","ppm","191.83","-","-","5.32","2.77","109.30","-","-","-","-","Linear","0.99992","Fitted","2000.00000","207.034341904362","38.2790550831863","-","","","","","","","3","0.00","0.00","0.00","192.20","196.95","186.34","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","Al 396.152","Al","!","0.00","0.00","ppm","22.48","-","-","10.57","47.02","54.68","-","-","-","-","Linear","0.99986","Fitted","2000.00000","228.472739554392","135.519425108664","-","","","","","","","3","0.00","0.00","0.00","29.14","28.01","10.29","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","Ba 230.424","Ba","!","0.00","0.00","ppm","3.29","-","-","2.89","87.93","2182.97","-","-","-","-","Linear","0.99952","Fitted","2000.00000","20.8850603308681","70.2137425009842","-","","","","","","","3","0.00","0.00","0.00","5.67","0.07","4.13","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","Ba 233.527","Ba","!","0.00","0.00","ppm","4.73","-","-","2.69","56.77","2030.92","-","-","-","-","Linear","0.99955","Fitted","2000.00000","33.7214298459407","101.963242367889","-","","","","","","","3","0.00","0.00","0.00","2.86","3.52","7.81","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","Ca 422.673","Ca","!","0.00","0.00","ppm","43.74","-","-","10.33","23.62","325.70","-","-","-","-","Linear","0.99906","Fitted","2000.00000","316.677593934274","259.715516659042","-","","","","","","","3","0.00","0.00","0.00","50.73","31.87","48.61","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","Co 228.615","Co","!","0.00","0.00","ppm","6.50","-","-","2.06","31.65","723.02","-","-","-","-","Linear","0.99994","Fitted","2000.00000","6.89321332884194","26.0203216129372","-","","","","","","","3","0.00","0.00","0.00","4.99","5.66","8.84","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","Co 230.786","Co","!","0.00","0.00","ppm","4.67","-","-","0.90","19.23","5.15","-","-","-","-","Linear","0.99998","Fitted","2000.00000","5.73946835547142","28.165304393011","-","","","","","","","3","0.00","0.00","0.00","5.17","5.21","3.63","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","Cr 267.716","Cr","!","0.00","0.00","ppm","4.93","-","-","2.27","45.97","1282.75","-","-","-","-","Linear","0.99981","Fitted","2000.00000","30.5666384344329","91.7275430079795","-","","","","","","","3","0.00","0.00","0.00","3.06","7.45","4.28","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","Cr 283.563","Cr","!","0.00","0.00","ppm","5.03","-","-","0.95","18.80","1255.80","-","-","-","-","Linear","0.99985","Fitted","2000.00000","12.3122376959177","211.693417703192","-","","","","","","","3","0.00","0.00","0.00","4.07","5.96","5.07","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","Cu 224.700","Cu","!","0.00","0.00","ppm","5.51","-","-","1.33","24.14","1591.40","-","-","-","-","Linear","0.99971","Fitted","2000.00000","8.12357733186202","10.6765575550816","-","","","","","","","3","0.00","0.00","0.00","6.93","4.29","5.32","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","Cu 324.754","Cu","!","0.00","0.00","ppm","7.35","-","-","3.24","44.07","734.73","-","-","-","-","Linear","0.99995","Fitted","2000.00000","11.2006731183329","178.074150124956","-","","","","","","","3","0.00","0.00","0.00","4.06","7.46","10.53","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","Cu 327.395","Cu","!","0.00","0.00","ppm","10.28","-","-","4.71","45.87","592.10","-","-","-","-","Linear","0.99989","Fitted","2000.00000","191.282274162999","201.359354426859","-","","","","","","","3","0.00","0.00","0.00","4.87","12.46","13.51","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","Fe 234.350","Fe","!","0.00","0.00","ppm","5.61","-","-","2.28","40.63","1418.85","-","-","-","-","Linear","0.99940","Fitted","2000.00000","66.7125124573333","33.6243983043312","-","","","","","","","3","0.00","0.00","0.00","2.99","7.15","6.68","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","La 333.749","La","!","0.00","0.00","ppm","16.69","-","-","6.33","37.92","1063.58","-","-","-","-","Linear","0.99989","Fitted","2000.00000","25.1503287134273","195.095531030046","-","","","","","","","3","0.00","0.00","0.00","22.95","16.84","10.29","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","La 379.082","La","!","0.00","0.00","ppm","6.61","-","-","9.58","> 100.00","844.06","-","-","-","-","Linear","0.99992","Fitted","2000.00000","38.9128854208753","210.468932124098","-","","","","","","","3","0.00","0.00","0.00","-3.92","8.92","14.82","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","La 379.477","La","!","0.00","0.00","ppm","6.87","-","-","6.66","96.87","867.38","-","-","-","-","Linear","0.99992","Fitted","2000.00000","34.4162110222676","245.59263418217","-","","","","","","","3","0.00","0.00","0.00","-0.24","7.90","12.95","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","La 398.852","La","!","0.00","0.00","ppm","24.92","-","-","7.32","29.37","902.50","-","-","-","-","Linear","0.99991","Fitted","2000.00000","47.4621203694767","415.327814753767","-","","","","","","","3","0.00","0.00","0.00","32.85","18.43","23.47","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","La 408.671","La","!","0.00","0.00","ppm","13.28","-","-","9.10","68.56","658.86","-","-","-","-","Linear","0.99994","Fitted","2000.00000","102.036681366988","573.588305950178","-","","","","","","","3","0.00","0.00","0.00","23.18","11.39","5.27","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","Mg 279.800","Mg","!","0.00","0.00","ppm","8.41","-","-","0.12","1.40","16.32","-","-","-","-","Linear","0.99998","Fitted","2000.00000","8.42655037886288","16.7476565577313","-","","","","","","","3","0.00","0.00","0.00","8.54","8.30","8.41","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","Mg 285.213","Mg","!","0.00","0.00","ppm","11.37","-","-","3.00","26.37","3313.69","-","-","-","-","Linear","0.99864","Fitted","2000.00000","212.485123528205","191.009475881856","-","","","","","","","3","0.00","0.00","0.00","11.16","14.47","8.48","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","Mn 257.610","Mn","!","0.00","0.00","ppm","5.55","-","-","2.05","37.04","1359.50","-","-","-","-","Linear","0.99980","Fitted","2000.00000","14.6361562958434","517.730924154836","-","","","","","","","3","0.00","0.00","0.00","7.61","5.52","3.51","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","Mn 259.372","Mn","!","0.00","0.00","ppm","8.38","-","-","3.81","45.40","1241.86","-","-","-","-","Linear","0.99984","Fitted","2000.00000","32.2412321515306","491.012883275296","-","","","","","","","3","0.00","0.00","0.00","12.20","4.59","8.36","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","Mn 260.568","Mn","!","0.00","0.00","ppm","5.95","-","-","3.04","51.11","950.75","-","-","-","-","Linear","0.99987","Fitted","2000.00000","39.4536996286538","91.3807374125123","-","","","","","","","3","0.00","0.00","0.00","5.48","3.17","9.19","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","Mn 293.931","Mn","!","0.00","0.00","ppm","3.24","-","-","2.66","82.26","1103.53","-","-","-","-","Linear","0.99987","Fitted","2000.00000","26.1759018489406","190.638776736735","-","","","","","","","3","0.00","0.00","0.00","4.93","0.17","4.61","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","Mn 294.921","Mn","!","0.00","0.00","ppm","8.99","-","-","3.04","33.77","1019.24","-","-","-","-","Linear","0.99985","Fitted","2000.00000","182.989578766343","184.986981946955","-","","","","","","","3","0.00","0.00","0.00","5.96","8.99","12.03","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","Na 589.592","Na","!","0.00","0.00","ppm","6847.91","-","-","41.04","0.60","48.09","-","-","-","-","Linear","0.99987","Fitted","2000.00000","7167.33308626705","1063.04407332545","-","","","","","","","3","0.00","0.00","0.00","6892.96","6812.63","6838.14","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","Nd 386.341","Nd","!","0.00","0.00","ppm","48.13","-","-","2.68","5.57","941.34","-","-","-","-","Linear","0.99990","Fitted","2000.00000","52.7092508755967","50.5399126182653","-","","","","","","","3","0.00","0.00","0.00","46.44","46.73","51.22","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","Nd 401.224","Nd","!","0.00","0.00","ppm","80.17","-","-","6.62","8.25","2310.50","-","-","-","-","Linear","0.99925","Fitted","2000.00000","142.019272647277","74.3029243550927","-","","","","","","","3","0.00","0.00","0.00","87.41","74.44","78.67","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","Nd 406.108","Nd","!","0.00","0.00","ppm","20.02","-","-","4.30","21.46","1002.14","-","-","-","-","Linear","0.99990","Fitted","2000.00000","28.4407376245412","79.36141261221","-","","","","","","","3","0.00","0.00","0.00","24.82","18.70","16.54","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","Nd 410.945","Nd","!","0.00","0.00","ppm","14.16","-","-","9.70","68.49","928.82","-","-","-","-","Linear","0.99988","Fitted","2000.00000","34.753115013048","53.2970770459808","-","","","","","","","3","0.00","0.00","0.00","10.73","25.11","6.64","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","Ni 231.604","Ni","!","0.00","0.00","ppm","1.20","-","-","2.70","> 100.00","1205.80","-","-","-","-","Linear","0.99977","Fitted","2000.00000","11.2162591253129","16.0873016049951","-","","","","","","","3","0.00","0.00","0.00","-1.74","1.79","3.55","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","Pb 220.353","Pb","!","0.00","0.00","ppm","3.92","-","-","2.27","57.94","28.50","-","-","-","-","Linear","0.99996","Fitted","2000.00000","3.82226528277242","5.29314458038638","-","","","","","","","3","0.00","0.00","0.00","2.21","3.06","6.50","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","Sc 335.372","Sc","!","0.00","0.00","ppm","21.49","-","-","6.63","30.85","950.86","-","-","-","-","Linear","0.99991","Fitted","2000.00000","72.8853318742149","750.712712568496","-","","","","","","","3","0.00","0.00","0.00","25.31","25.32","13.83","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","Sc 357.634","Sc","!","0.00","0.00","ppm","28.20","-","-","1.63","5.79","832.27","-","-","-","-","Linear","0.99993","Fitted","2000.00000","37.9449936757591","841.202616627046","-","","","","","","","3","0.00","0.00","0.00","26.35","29.43","28.83","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","Sc 363.074","Sc","!","0.00","0.00","ppm","11.45","-","-","3.62","31.60","683.47","-","-","-","-","Linear","0.99993","Fitted","2000.00000","73.4687946605647","494.396616437467","-","","","","","","","3","0.00","0.00","0.00","13.77","13.29","7.28","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","Sc 424.682","Sc","!","0.00","0.00","ppm","21.84","-","-","3.04","13.92","616.59","-","-","-","-","Linear","0.99995","Fitted","2000.00000","36.7379179139163","1219.1733116614","-","","","","","","","3","0.00","0.00","0.00","24.31","22.77","18.45","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","Si 251.611","Si","!","0.00","0.00","ppm","6.01","-","-","1.25","20.82","3074.04","-","-","-","-","Linear","0.99908","Fitted","2000.00000","8.53892943138174","12.0036950981158","-","","","","","","","3","0.00","0.00","0.00","6.66","4.57","6.81","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","Si 288.158","Si","!","0.00","0.00","ppm","12.52","-","-","2.80","22.35","13.07","-","-","-","-","Linear","0.99996","Fitted","2000.00000","18.6462695414023","53.0808516581099","-","","","","","","","3","0.00","0.00","0.00","14.84","13.31","9.42","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","Sr 215.283","Sr","!","0.00","0.00","ppm","6.17","-","-","6.09","98.71","1230.73","-","-","-","-","Linear","0.99963","Fitted","2000.00000","12.4608269664284","5.37401576874638","-","","","","","","","3","0.00","0.00","0.00","12.59","5.46","0.47","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","Sr 407.771","Sr","!","0.00","0.00","ppm","153.73","-","-","15.01","9.77","956.27","-","-","-","-","Linear","0.99983","Fitted","2000.00000","161.537505039335","24756.1503726789","-","","","","","","","3","0.00","0.00","0.00","168.58","154.05","138.56","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","Sr 421.552","Sr","!","0.00","0.00","ppm","48.72","-","-","24.75","50.81","997.99","-","-","-","-","Linear","0.99989","Fitted","2000.00000","206.114097506552","9072.95640204571","-","","","","","","","3","0.00","0.00","0.00","76.76","39.48","29.91","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","Th 283.730","Th","!","0.00","0.00","ppm","6.55","-","-","3.99","60.84","284.51","-","-","-","-","Linear","0.99982","Fitted","2000.00000","50.7411909519267","25.9232184727993","-","","","","","","","3","0.00","0.00","0.00","4.95","3.61","11.09","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","V 268.796","V","!","0.00","0.00","ppm","3.10","-","-","1.48","47.94","1204.75","-","-","-","-","Linear","0.99986","Fitted","2000.00000","7.2391404921811","44.4372370707515","-","","","","","","","3","0.00","0.00","0.00","4.81","2.19","2.29","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","V 292.401","V","!","0.00","0.00","ppm","14.79","-","-","2.92","19.73","965.13","-","-","-","-","Linear","0.99984","Fitted","2000.00000","105.730131230042","107.500691280299","-","","","","","","","3","0.00","0.00","0.00","17.35","15.39","11.61","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","V 309.310","V","!","0.00","0.00","ppm","4.08","-","-","2.62","64.15","751.71","-","-","-","-","Linear","0.99992","Fitted","2000.00000","28.4158527996359","138.72174459941","-","","","","","","","3","0.00","0.00","0.00","6.48","4.49","1.29","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","V 311.070","V","!","0.00","0.00","ppm","9.43","-","-","3.86","40.94","733.92","-","-","-","-","Linear","0.99993","Fitted","2000.00000","22.4319634477462","187.586373961748","-","","","","","","","3","0.00","0.00","0.00","13.88","7.14","7.26","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","V 311.837","V","!","0.00","0.00","ppm","7.61","-","-","2.11","27.71","946.19","-","-","-","-","Linear","0.99991","Fitted","2000.00000","19.3592816748546","180.646721883038","-","","","","","","","3","0.00","0.00","0.00","10.03","6.22","6.57","","",""
"Blank","S1:13","BLK","3/17/2026 3:11:39 PM","Zn 206.200","Zn","!","0.00","0.00","ppm","5.85","-","-","2.40","41.09","33.50","-","-","-","-","Linear","0.99996","Fitted","2000.00000","10.8054494744866","9.94586094295093","-","","","","","","","3","0.00","0.00","0.00","8.28","5.78","3.48","","",""
"Standard 1","S1:14","STD","3/5/2026 8:45:20 AM","Al 394.401","Al","!","--","--","ppm","-","-","-","-","N/A","109.30","-","-","-","-","Linear","0.99992","Fitted","2000.00000","207.034341904362","38.2790550831863","-","","","","","","","3","","","","","","","","",""
"Standard 1","S1:14","STD","3/5/2026 8:45:20 AM","Al 396.152","Al","!","--","--","ppm","-","-","-","-","N/A","54.68","-","-","-","-","Linear","0.99986","Fitted","2000.00000","228.472739554392","135.519425108664","-","","","","","","","3","","","","","","","","",""
"Standard 1","S1:14","STD","3/5/2026 8:45:20 AM","Ba 230.424","Ba","!","0.10","0.10","ppm","244.67","-","-","6.06","2.48","2182.97","-","-","-","-","Linear","0.99952","Fitted","2000.00000","20.8850603308681","70.2137425009842","-","","","","","","","3","0.10","0.10","0.10","244.40","250.85","238.74","","",""
"Standard 1","S1:14","STD","3/5/2026 8:45:20 AM","Ba 233.527","Ba","!e","0.10","0.10","ppm","336.76","-","-","5.88","1.75","2030.92","-","-","-","-","Linear","0.99955","Fitted","2000.00000","33.7214298459407","101.963242367889","-","","","","","","","3","0.10","0.10","","332.60","340.92","","","",""
"Standard 1","S1:14","STD","3/5/2026 8:45:20 AM","Ca 422.673","Ca","!","--","--","ppm","-","-","-","-","N/A","325.70","-","-","-","-","Linear","0.99906","Fitted","2000.00000","316.677593934274","259.715516659042","-","","","","","","","3","","","","","","","","",""
