Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Batch,Heat,Lot,Note,Sample,Mode,Ag,Ag 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Cd,Cd 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma,Ca,Ca 2-Sigma,K,K 2-Sigma,Al,Al 2-Sigma,Ba,Ba 2-Sigma,Cl,Cl 2-Sigma,Mg,Mg 2-Sigma,P,P 2-Sigma,S,S 2-Sigma,Si,Si 2-Sigma,Satellites,Altitude,Latitude,Longitude,Grid,Easting,Northing,
1,Mining,34.41,29.81,2.07,,,"Sun Jan 19, 2025 - 23:48:57",User,1.5,%,,,,,,Mining,<LOD,0.0016,<LOD,0.0017,0.1147 , 0.0030,57.7100 , 0.2099,0.1148 , 0.0015,<LOD,0.0017,0.1465 , 0.0130,3.1187 , 0.0159,0.2297 , 0.0035,32.9403 , 0.0276,<LOD,0.0000,0.1413 , 0.0021,0.7251 , 0.0107,0.0045 , 0.0003,0.0094 , 0.0003,1.9841 , 0.0099,0.1305 , 0.0013,<LOD,0.0017,0.0114 , 0.0006,<LOD,0.0000,<LOD,0.0026,0.0428 , 0.0009,<LOD,0.0017,0.0309 , 0.0003,<LOD,0.0000,<LOD,0.0017,1.8120 , 0.0215,0.0669 , 0.0013,0.4354 , 0.0113,<LOD,0.0000,0.0284 , 0.0004,0.1818 , 0.0022,0.0208 , 0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Mining,35.02,0.00,29.36,,,"Sun Jan 19, 2025 - 23:50:18",User,1.5,%,,,,,,Mining,<LOD,0.0018,<LOD,0.0018,0.1221 , 0.0033,62.3373 , 0.2278,0.1177 , 0.0016,<LOD,0.0019,0.1649 , 0.0129,0.1772 , 0.0017,0.2417 , 0.0038,31.6458 , 0.0281,<LOD,0.0000,0.1481 , 0.0022,0.7517 , 0.0100,0.0056 , 0.0004,0.0102 , 0.0004,2.1895 , 0.0108,0.1313 , 0.0014,<LOD,0.0019,0.0106 , 0.0007,<LOD,0.0000,<LOD,0.0030,0.0432 , 0.0010,<LOD,0.0020,0.0337 , 0.0003,<LOD,0.0000,<LOD,0.0018,0.0269 , 0.0054,0.0687 , 0.0014,0.0216 , 0.0013,<LOD,0.0000,0.0318 , 0.0004,0.1728 , 0.0023,0.0226 , 0.0004,1.5250 , 0.0144,<LOD,0.0237,,,,,,,,,,,,,,,,,,,,,,
3,Mining,34.31,0.00,29.22,,,"Sun Jan 19, 2025 - 23:53:35",User,1.5,%,,,,,,Mining,<LOD,0.0013,<LOD,0.0014,0.0971 , 0.0025,67.3004 , 0.1577,0.0972 , 0.0013,<LOD,0.0013,0.1039 , 0.0107,0.9799 , 0.0103,0.1967 , 0.0028,25.5155 , 0.0253,<LOD,0.0000,0.1326 , 0.0018,0.7741 , 0.0091,0.0046 , 0.0003,0.0087 , 0.0003,1.5598 , 0.0078,0.1205 , 0.0011,<LOD,0.0013,0.0116 , 0.0005,<LOD,0.0000,<LOD,0.0021,0.0344 , 0.0007,<LOD,0.0014,0.0275 , 0.0002,<LOD,0.0000,<LOD,0.0015,2.2967 , 0.0242,0.0562 , 0.0011,0.4783 , 0.0120,<LOD,0.0000,0.0250 , 0.0003,0.1617 , 0.0019,0.0176 , 0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Mining,34.27,0.00,29.25,,,"Mon Jan 20, 2025 - 00:00:04",User,1.5,ppm,,,,,,Mining,<LOD,16.5062,<LOD,17.7760,1108.5059 , 31.7058,442540.6250 , 2856.3337,1029.1329 , 15.6124,<LOD,16.9660,1266.1644 , 143.7079,616.3107 , 14.0121,2228.1196 , 31.8896,305317.1875 , 303.3836,<LOD,0.0000,1440.3267 , 22.2423,9082.5049 , 118.7445,53.3799 , 3.3709,94.1406 , 3.3937,2829.6211 , 44.3377,1231.7417 , 13.2898,<LOD,17.2561,118.3554 , 6.6877,<LOD,0.0000,<LOD,26.7693,390.8361 , 9.4414,<LOD,17.7205,310.7095 , 2.8624,<LOD,0.0000,<LOD,17.9760,6715.4590 , 87.1150,603.7620 , 13.7965,384.0468 , 23.2493,<LOD,0.0000,290.9743 , 3.9006,1797.2826 , 23.7041,235.5446 , 3.7600,220315.2500 , 373.3769,<LOD,223.7983,,,,,,,,,,,,,,,,,,,,,,
7,Mining,130.98,29.37,29.53,29.18,0.00,"Mon Jan 20, 2025 - 00:12:08",User,1.5,ppm,,,,,,Mining,<LOD,2.2247,<LOD,1.0740,<LOD,2.9367,862301.3125 , 2920.6191,<LOD,1.4790,<LOD,2.8314,122.4639 , 38.8916,17.3829 , 5.2541,<LOD,5.3582,29629.0254 , 118.0539,<LOD,0.0000,<LOD,2.5707,483.5498 , 29.1879,<LOD,1.0373,<LOD,0.8344,10.9129 , 6.4036,<LOD,1.1879,<LOD,1.5227,<LOD,0.6855,<LOD,0.0000,<LOD,5.3749,<LOD,0.8788,<LOD,4.7776,7.2348 , 0.3344,<LOD,0.0000,1.9216 , 0.7548,1762.5275 , 28.2779,<LOD,1.4906,93.3067 , 8.8094,<LOD,7.5819,8.3109 , 0.5144,39.6363 , 2.7389,19.4962 , 0.6936,58525.8281 , 223.5217,<LOD,111.4796,9274.7373 , 471.8601,141.8612 , 75.9863,<LOD,90.7928,<LOD,3892.8787,<LOD,177.2658,<LOD,68.6848,37560.4414 , 352.9228,5,-6.100000,40.871105,-124.101685,10.000000,407165.218750,4525032.500000,
8,Mining,123.69,29.61,29.54,29.19,29.64,"Mon Jan 20, 2025 - 00:15:45",User,1.5,ppm,,,,,,Mining,<LOD,1.7248,<LOD,1.0808,<LOD,2.9277,483188.8438 , 9331.7422,<LOD,1.5105,<LOD,2.5450,<LOD,66.3561,2444.1162 , 15.4653,47.8008 , 5.6746,45130.9883 , 131.0775,<LOD,0.0000,<LOD,4.1491,771.2144 , 36.8237,<LOD,1.0066,<LOD,0.7911,1821.2466 , 20.3498,<LOD,1.1750,<LOD,1.3792,<LOD,0.6840,<LOD,0.0000,<LOD,4.7911,<LOD,0.9273,26.3207 , 2.8828,<LOD,0.3315,<LOD,0.0000,<LOD,1.1090,90.9011 , 17.1900,<LOD,1.5056,47.6617 , 5.1660,<LOD,14.7921,<LOD,0.5785,31.8165 , 2.6182,<LOD,0.6573,22626.1973 , 131.6561,<LOD,44.9373,5680.6187 , 801.4004,182.2233 , 22.8390,<LOD,51.3123,246154.8750 , 6795.3525,<LOD,93.7653,<LOD,40.3848,191755.1406 , 501.1906,5,-3.600000,40.871094,-124.101768,10.000000,407158.187500,4525031.500000,
9,Mining,130.64,29.91,29.90,29.20,0.00,"Mon Jan 20, 2025 - 00:19:25",User,1.5,ppm,,,,,,Mining,<LOD,1.0170,<LOD,1.3222,<LOD,1.9296,558768.8750 , 4040.8772,<LOD,1.0721,<LOD,1.5639,68.3216 , 30.5624,442.5128 , 5.7210,<LOD,5.6203,31239.6738 , 116.6870,<LOD,0.0000,<LOD,2.1681,344.9068 , 22.5796,<LOD,0.7426,<LOD,0.5824,1641.6667 , 16.2045,<LOD,0.8184,<LOD,0.8357,<LOD,0.4840,<LOD,0.0000,<LOD,2.9574,<LOD,0.6204,7.5583 , 1.7276,<LOD,0.2431,<LOD,0.0000,<LOD,0.7411,64.2087 , 10.0589,<LOD,1.0542,5.4756 , 2.6673,<LOD,11.4479,<LOD,0.4218,13.6803 , 1.5908,<LOD,0.4976,<LOD,13.7334,<LOD,24.9818,3073.9348 , 274.7424,142.2497 , 76.1943,<LOD,31.0545,297724.8125 , 3559.2581,<LOD,62.8951,278.9522 , 20.8195,106183.1875 , 362.2560,6,1.000000,40.871094,-124.101677,10.000000,407166.062500,4525031.500000,
10,Mining,130.57,34.62,29.44,29.64,29.58,"Mon Jan 20, 2025 - 00:33:22",User,1.5,ppm,,,,,,Mining,1.9512 , 1.6838,<LOD,0.4171,<LOD,1.0975,987411.9375 , 431.9033,<LOD,0.6103,11.8602 , 4.3433,<LOD,3.9352,<LOD,2.5589,<LOD,2.5018,<LOD,9.9162,<LOD,0.0000,<LOD,0.9410,<LOD,11.6242,3.6029 , 0.4177,3.6587 , 0.3421,<LOD,2.8613,<LOD,0.4729,3.5187 , 0.3846,10.8553 , 0.3886,<LOD,0.0000,1.8720 , 1.1042,<LOD,0.3535,<LOD,1.3694,6.8377 , 0.1845,<LOD,0.0000,0.7370 , 0.3353,18.3073 , 4.1211,<LOD,0.8176,<LOD,1.7305,<LOD,3.1639,2.0597 , 0.2623,46.2863 , 1.6102,4.8689 , 0.3105,1433.3784 , 26.7792,5970.6646 , 52.6527,<LOD,59.0887,<LOD,10.5713,1767.4708 , 21.2107,<LOD,629.9914,2273.7124 , 71.6543,975.5836 , 17.8454,50.8134 , 15.5556,5,1.000000,40.871109,-124.101578,10.000000,407174.375000,4525033.000000,
11,Mining,33.80,29.72,1.89,,,"Mon Feb 10, 2025 - 23:15:14",User,1.5,ppm,,,,,,Mining,<LOD,12.3059,<LOD,11.7425,576.1453 , 20.4018,631657.6875 , 2019.9281,523.9468 , 9.9468,<LOD,12.6476,390.3393 , 117.6287,3195.0771 , 81.1253,1989.5120 , 26.5876,248803.2969 , 280.7700,<LOD,0.0000,698.6140 , 13.9866,6365.8643 , 92.7305,35.8529 , 2.5456,116.0657 , 2.7154,2456.8892 , 36.5917,689.5920 , 8.8222,<LOD,12.6324,86.9568 , 4.8058,<LOD,0.0000,<LOD,19.9573,194.6264 , 6.0749,<LOD,13.1726,1385.2679 , 5.0092,<LOD,0.0000,<LOD,11.7995,95663.6719 , 422.2497,367.6624 , 9.9123,3245.4302 , 164.0258,<LOD,0.0000,185.6629 , 2.7835,1064.0220 , 16.3280,307.8219 , 4.1843,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Mining,33.99,0.00,29.33,,,"Mon Feb 10, 2025 - 23:16:00",User,1.5,ppm,,,,,,Mining,<LOD,11.5328,<LOD,11.0531,568.8878 , 19.3570,650766.6250 , 1824.3733,524.2268 , 9.5210,<LOD,11.9218,352.8978 , 111.2671,3211.1458 , 78.0995,1855.6110 , 24.7868,240579.0000 , 266.9720,<LOD,0.0000,643.9932 , 12.9298,5906.7495 , 86.4792,31.3014 , 2.3795,113.6492 , 2.5608,2630.9094 , 36.0593,670.9055 , 8.3208,<LOD,11.7522,96.7449 , 4.5598,<LOD,0.0000,<LOD,18.7739,188.5704 , 5.7448,<LOD,12.3913,1066.3501 , 4.2231,<LOD,0.0000,<LOD,11.1608,85604.5938 , 400.2940,354.4104 , 9.1876,3325.3457 , 155.2454,<LOD,0.0000,179.5095 , 2.6328,1028.2362 , 15.3839,300.3625 , 3.7897,,,,,,,,,,,,,,,,,,,,,,,,,,
